Code,Label
HFA_421,"% of regular daily smokers in the population, age 15+, by sex"
HFA_422,"% of regular daily smokers in the population, age 15+, males"
HFA_423,"% of regular daily smokers in the population, age 15+, females"
HFA_426,"Pure alcohol consumption, litres per capita, age 15+"
HFA_427,"Spirits consumed in pure alcohol, litres per capita, age 15+"
HFA_428,"Wine consumed in pure alcohol, litres per capita, age 15+"
HFA_429,"Beer consumed in pure alcohol, litres per capita, age 15+"
HFA_431,Road traffic accidents involving alcohol per 100 000
HFA_432,Number of road traffic accidents involving alcohol
HFA_433,First admissions to drug treatment centres per 100 000
HFA_434,Number of first admissions to drug treatment centres
HFA_436,Road traffic accidents with injury per 100 000
HFA_437,Number of road traffic accidents with injury
HFA_438,People killed or injured in road traffic accidents per 100 000
HFA_439,Number of people killed or injured in road traffic accidents
HFA_440,Average number of calories available per person per day (kcal)
HFA_441,% of total energy available from fat
HFA_442,Fat available per person per day (g)
HFA_443,% of total energy available from protein
HFA_444,Protein available per person per day (g)
HFA_445,Average amount of cereal available per person per year (kg)
HFA_446,Average amount of fruits and vegetables available per person per year (kg)
HFA_447,"Microbiological foodborne diseases, number of outbreaks"
HFA_448,Microbiological foodborne diseases per 100 000
HFA_449,Number of cases of microbiological foodborne diseases
HFA_450,Salmonellosis cases per 100 000
HFA_451,Number of salmonellosis cases
HFA_452,New cases of occupational diseases per 100 000
HFA_453,Number of new cases of occupational diseases
HFA_454,People injured due to work-related accidents per 100 000
HFA_455,Number of people injured due to work-related accidents
HFA_456,Deaths due to work-related accidents per 100 000
HFA_457,Number of deaths due to work-related accidents
HFA_463,"% population with homes connected to water supply system, by place of residence"
HFA_464,"% population with homes connected to water supply system, urban"
HFA_465,"% population with homes connected to water supply system, rural"
HFA_466,"% population with access to sewage system, septic tank or other hygienic means of sewage disposal, by place of residence"
HFA_467,"% population with access to sewage system, septic tank or other hygienic means of sewage disposal, urban"
HFA_468,"% population with access to sewage system, septic tank or other hygienic means of sewage disposal, rural"
HFA_469,Average number of people per room in occupied housing unit
HFA_470,Hospitals per 100 000
HFA_471,Number of hospitals
HFA_472,Acute (short-stay) hospitals per 100 000
HFA_473,Number of acute (short-stay) hospitals
HFA_474,Primary health care units per 100 000
HFA_475,Number of primary health care units
HFA_476,Hospital beds per 100 000
HFA_477,Total number of hospital beds
HFA_478,Acute care hospital beds per 100 000
HFA_479,Number of acute care hospital beds
HFA_480,"Acute care hospital beds, medical group of specialties"
HFA_481,"Acute care hospital beds, medical group of specialties, per 100 000"
HFA_482,"Acute care hospital beds, surgical group of specialties"
HFA_483,"Acute care hospital beds, surgical group of specialties, per 100 000"
HFA_484,"Acute care hospital beds, obstetric and gynaecological group of specialties"
HFA_485,"Acute care hospital beds, obstetric and gynaecological group of specialties, per 100 000"
HFA_486,"Acute care hospital beds, paediatric group of specialties"
HFA_487,"Acute care hospital beds, paediatric group of specialties, per 100 000"
HFA_488,Psychiatric hospital beds per 100 000
HFA_489,Number of psychiatric hospital beds
HFA_490,Nursing and elderly home beds per 100 000
HFA_491,Number of nursing and elderly home beds
HFA_492,Private inpatient hospital beds as % of all beds
HFA_493,Number of private inpatient hospital beds
HFA_494,Physicians per 100 000
HFA_495,"Number of physicians, physical persons (physical persons)"
HFA_496,"Physicians, (full-time equivalent) per 100 000"
HFA_497,"Number of physicians, (full-time equivalent)"
HFA_498,"Physicians, medical group of specialties (physical persons), per 100 000"
HFA_499,"Number of physicians, medical group of specialties (physical persons)"
HFA_500,"Number of physicians, surgical group of specialties (physical persons)"
HFA_501,"Physicians, surgical group of specialties (physical persons), per 100 000"
HFA_502,"Number of physicians, obstetric and gynaecological group of specialties (physical persons)"
HFA_503,"Physicians, obstetric and gynaecological group of specialties (physical persons), per 100 000"
HFA_504,"Number of physicians, paediatric specialties (physical persons)"
HFA_505,"Physicians, paediatric group of specialties (physical persons), per 100 000"
HFA_506,% of physicians working in hospitals
HFA_507,General practitioners (physical persons) per 100 000
HFA_508,Number of general practitioners (physical persons)
HFA_509,Dentists (physical persons) per 100 000
HFA_510,Number of dentists (physical persons)
HFA_511,Dentists (full time equivalent) per 100 000
HFA_512,Number of dentists (full time equivalent)
HFA_513,Pharmacists (physical persons) per 100 000
HFA_514,Number of pharmacists (physical persons)
HFA_515,Nurses (physical persons) per 100 000
HFA_516,Number of nurses (physical persons)
HFA_517,Nurses (full time equivalent) per 100 000
HFA_518,Number of nurses (full time equivalent)
HFA_519,% of nurses working in hospitals
HFA_520,Midwives (physical persons) per 100 000
HFA_521,Number of midwives (physical persons)
HFA_522,Midwives (full time equivalent) per 100 000
HFA_523,Number of midwives (full time equivalent)
HFA_524,Physicians graduated per 100 000
HFA_525,Number of physicians graduated in given year
HFA_526,Nurses graduated per 100 000
HFA_527,Number of nurses graduated in given year
HFA_528,Midwives graduated per 100 000
HFA_529,Number of midwives graduated in given year
HFA_530,Pharmacists graduated per 100 000
HFA_531,Number of pharmacists graduated in given year
HFA_532,Dentists graduated per 100 000
HFA_533,Number of dentists graduated in given year
HFA_534,Inpatient care discharges per 100
HFA_535,Number of all hospital discharges
HFA_536,Acute care hospital discharges per 100
HFA_537,Number of acute care hospital discharges
HFA_538,Inpatient surgical procedures per year per 100 000
HFA_539,Total number of inpatient surgical procedures per year
HFA_540,"Average length of stay, all hospitals"
HFA_541,"Average length of stay, acute care hospitals only"
HFA_542,"Bed occupancy rate (%), acute care hospitals only"
HFA_543,Outpatient contacts per person per year
HFA_544,Autopsy rate (%) for hospital deaths
HFA_545,Autopsy rate (%) for all deaths
HFA_546,"Surgical wound infection rate (%), all operations"
HFA_547,"Appendicitis, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_548,"Appendicitis, 0–64, per 100 000, males (age-standardized death rate)"
HFA_549,"Appendicitis, 0–64, per 100 000, females (age-standardized death rate)"
HFA_550,"Appendicitis, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_551,"Appendicitis, all ages, per 100 000, males (age-standardized death rate)"
HFA_552,"Appendicitis, all ages, per 100 000, females (age-standardized death rate)"
HFA_553,"Hernia and intestinal obstruction, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_554,"Hernia and intestinal obstruction, 0–64, per 100 000, males (age-standardized death rate)"
HFA_555,"Hernia and intestinal obstruction, 0–64, per 100 000, females (age-standardized death rate)"
HFA_556,"Hernia and intestinal obstruction, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_557,"Hernia and intestinal obstruction, all ages, per 100 000, males (age-standardized death rate)"
HFA_558,"Hernia and intestinal obstruction, all ages, per 100 000, females (age-standardized death rate)"
HFA_559,"Adverse effects of therapeutic agents, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_560,"Adverse effects of therapeutic agents, 0–64, per 100 000, males (age-standardized death rate)"
HFA_561,"Adverse effects of therapeutic agents, 0–64, per 100 000, females (age-standardized death rate)"
HFA_562,"Adverse effects of therapeutic agents, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_563,"Adverse effects of therapeutic agents, all ages, per 100 000, males (age-standardized death rate)"
HFA_564,"Adverse effects of therapeutic agents, all ages, per 100 000, females (age-standardized death rate)"
HFA_565,"Total health expenditure as % of GDP, WHO estimates"
HFA_566,Total health expenditure as % of GDP
HFA_567,"Public-sector expenditure on health as % of GDP, WHO estimates"
HFA_568,"Private-sector expenditure on health as % of GDP, WHO estimates"
HFA_569,"Total health expenditure, purchasing power parity (USD) per capita, WHO estimates"
HFA_570,"Total health expenditure, purchasing power parity (USD) per capita"
HFA_571,"Public expenditure on health, purchasing power parity (USD) per capita, WHO estimates"
HFA_572,"Public-sector health expenditure as % of total health expenditure, WHO estimates"
HFA_573,Public-sector health expenditure as % of total health expenditure
HFA_574,"Private-sector expenditure on health as % of total health expenditure, WHO estimates"
HFA_575,Total inpatient expenditure as % of total health expenditure
HFA_577,Public inpatient expenditure as % of total inpatient expenditure
HFA_578,Total pharmaceutical expenditure as % of total health expenditure
HFA_580,Public pharmaceutical expenditure as % of total pharmaceutical expenditure
HFA_581,Total capital investment expenditure on medical facilities as % of total health expenditure
HFA_582,Salaries as % of total public health expenditure
HFA_583,"Public-sector expenditure on health as % of total government expenditure, WHO estimates"
HFA_584,Private households' out-of-pocket payments on health as % of total health expenditure
HFA_585,Private households' out-of-pocket payments on health as % of private-sector health expenditure
HFA_586,Abortions per 1000 live births
HFA_587,"Number of abortions, all ages"
HFA_588,"Abortions per 1000 live births, age under 20 years"
HFA_589,"Number of abortions, age under 20 years"
HFA_590,"Abortions per 1000 live births, age 35+ years"
HFA_591,"Number of abortions, age 35+ years"
HFA_592,% of all live births to mothers aged under 20 years
HFA_593,Number of all live births to mothers aged under 20 years
HFA_594,% of all live births to mothers aged 35+ years
HFA_595,"Number of all live births, mothers aged 35+ years"
HFA_596,Caesarean sections per 1000 live births
HFA_597,Number of caesarean sections
HFA_598,Proportion (%) of births attended by skilled health personnel
HFA_599,"Contraceptive use among currently married women aged 15–49 (%), any method"
HFA_600,% of live births weighing 2500 g or more
HFA_601,Congenital anomalies per 100 000 live births
HFA_602,Number of births with congenital anomalies
HFA_603,Births with Down's syndrome per 100 000 live births
HFA_604,Number of births with Down's syndrome
HFA_605,% of infants vaccinated against tuberculosis
HFA_606,% of infants vaccinated against diphtheria
HFA_607,% of infants vaccinated against tetanus
HFA_608,% of infants vaccinated against pertussis
HFA_609,% of children vaccinated against measles
HFA_610,% of infants vaccinated against poliomyelitis
HFA_611,% infants vaccinated against invasive disease due to Haemophilus influenzae type b
HFA_612,% of infants vaccinated against hepatitis B
HFA_613,% of infants vaccinated against mumps
HFA_614,% of infants vaccinated against rubella
HFA_615,% of infants breastfed at age 3 months
HFA_616,% of infants breastfed at age 6 months
HFA_617,GINI coefficient (income distribution)
HFA_618,"Proportion of children of official primary school age not enrolled, by sex"
HFA_619,"Proportion of children of official primary school age not enrolled, males"
HFA_620,"Proportion of children of official primary school age not enrolled, females"
HFA_621,Availability of social support
HFA_622,"Age-standardized prevalence of current tobacco smoking among people aged 15 years and over, WHO estimates (%), by sex"
HFA_623,"Age-standardized prevalence of current tobacco smoking among people aged 15 years and over, WHO estimates (%), males"
HFA_624,"Age-standardized prevalence of current tobacco smoking among people aged 15 years and over, WHO estimates (%), females"
HFA_625,Number cigarettes consumed per person per year
HFA_626,"Total number of cigarettes consumed (in million pieces), per year"
HFA_627,"Age-standardized prevalence of overweight (defined as BMI = 25 kg/m2) in people aged 18 years and over, WHO estimates (%), by sex"
HFA_628,"Age-standardized prevalence of overweight (defined as BMI = 25 kg/m2) in people aged 18 years and over, WHO estimates (%), males"
HFA_629,"Age-standardized prevalence of overweight (defined as BMI = 25 kg/m2) in people aged 18 years and over, WHO estimates (%), females"
HFA_630,"Age-standardized prevalence of obesity (defined as BMI = 30 kg/m2) in people aged 18 years and over, WHO estimates (%), by sex"
HFA_631,"Age-standardized prevalence of obesity (defined as BMI = 30 kg/m2) in people aged 18 years and over, WHO estimates (%), males"
HFA_632,"Age-standardized prevalence of obesity (defined as BMI = 30 kg/m2) in people aged 18 years and over, WHO estimates (%), females"
HFA_633,WHO Member States participating in the European Health Information Initiative (EHII)
HFA_634,"Healthy life expectancy (HALE ) at birth, female"
HFA_635,"Healthy life expectancy (HALE) at birth, male"
HFA_636,Healthy life expectancy (HALE) at birth
HFA_637,"Youth unemployment rate, % of total labor force ages 15-25"
HFA_638,"Youth unemployment rate, % of labor force ages 15-24, female"
HFA_639,"Youth unemployment rate, % of labor force ages 15-24, male"
HFA_640,"Number of maternal deaths, clinical data"
